clean_post,polarity,sentiment,affect_label,label_name
feel need constantly assure someone youre goodnicetrustworthy person probably arent,0.34,Positve,0,non-negative affect
would hope anyone knows would feel could talk experiencesurvivor survivorthere r people care,0.727,Positve,0,non-negative affect
wonder many survivors feel cant share storiesamptry spread awareness feel silenced reason,-0.224,Negative,1,high negative affect
sleepy diaper dog httptcoegbenxj,0.0,Neutral,0,non-negative affect
anyone supports survivors spreads awarenessthank giving survivors outlet way heard,0.599,Positve,0,non-negative affect
importantly bear mind doesnt matter u think happened themtheir experiences feelings valid,0.302,Positve,0,non-negative affect
trust enough open youdo misuse trustits hard enough survivors feel like talk,0.66,Positve,0,non-negative affect
somebody discloses abusedlisten themdont act investigator tell,0.0,Neutral,0,non-negative affect
important victims sexual abuse heard feel like right feelings matter happened,-0.477,Negative,1,high negative affect
rt minutes kill enjoy delightfully condensed version gentlemans guide love murder https,0.178,Positve,0,non-negative affect
mental illnesses need de stigmatizedampdiscussed depressionanxietyamp bipolar dont selective mental illness isnt,-0.236,Negative,1,high negative affect
totally crying episode frasier niles operation gets every time,-0.526,Negative,1,high negative affect
rt friends wont run lines httptcoumhdhkcf,0.477,Positve,0,non-negative affect
rt hey get role wanted httptcobfpgqftng,0.0,Neutral,0,non-negative affect
rt share hotline info friend loved one never know might helpful hope httptcojdqgw,0.871,Positve,0,non-negative affect
rt consultant told hotels classy place bowls apples random places,0.44,Positve,0,non-negative affect
reading script far going whoa get thistime get back track feelingwisetomorrownow need sleep,0.0,Neutral,0,non-negative affect
rt coming soon broadway nineties movie musical,0.0,Neutral,0,non-negative affect
rt maybe wasnt meant retweets dont say course meant favorites,0.421,Positve,0,non-negative affect
rt finally cut gluten vocabulary,-0.273,Negative,1,high negative affect
rt enough caffeine anything possible,0.0,Neutral,0,non-negative affect
hear screaming bug got within feet,-0.382,Negative,1,high negative affect
rt props u youre gym right give u full credit ill eating,-0.052,Negative,1,high negative affect
aw man still get newsletter old school way,0.0,Neutral,0,non-negative affect
see info next season,0.0,Neutral,0,non-negative affect
tonights episode megan tries cook tune learn new ways string together obscenities,0.0,Neutral,0,non-negative affect
rt favorite easter tradition dying eggs happy easter g glam httptcorrrtws,0.772,Positve,0,non-negative affect
hang lovely please text want talk vent,0.751,Positve,0,non-negative affect
rt theatre allowed opportunities play learn grow ultimately courageous art matters,0.818,Positve,0,non-negative affect
tv frog throwing children frogs foam party feel like im nightmare,0.637,Positve,0,non-negative affect
coffee rainy day writing favorite things,0.402,Positve,0,non-negative affect
slowly surely making progress script im actually enjoying writing outside usual genre,0.844,Positve,0,non-negative affect
standing appointment regular doctor somatic symptoms gift hypochondriac,0.44,Positve,0,non-negative affect
yeah im fan apparently works people,0.542,Positve,0,non-negative affect
hated always felt stupid,-0.823,Negative,1,high negative affect
rt share national sexual assault hotline friend month hope httptcojdqgwpli saa pm,0.542,Positve,0,non-negative affect
definitely go milkshake make last longer,0.402,Positve,0,non-negative affect
doggy face diaper background httptcocntkwtixp,0.0,Neutral,0,non-negative affect
day frasier remains time favorite show mention taught words otherwise wouldnt known sats,0.459,Positve,0,non-negative affect
youre like twitter bff favorite things type even theyre dumb,0.727,Positve,0,non-negative affect
diagnosed depression understand tweets,-0.572,Negative,1,high negative affect
tft substitute teacher told leslie sit asked name,0.0,Neutral,0,non-negative affect
amen lol,0.421,Positve,0,non-negative affect
know love let go let go,0.637,Positve,0,non-negative affect
rt tryna live,0.0,Neutral,0,non-negative affect
asked back within next days id say yes thousand times penelope rose,0.402,Positve,0,non-negative affect
rt give back kind ache pain medicine relieve hurt get stomach laughing hard,-0.153,Negative,1,high negative affect
bc love one person amp one person know shout wish everything,0.784,Positve,0,non-negative affect
fuck,-0.542,Negative,1,high negative affect
rt dont give things make smile,0.361,Positve,0,non-negative affect
rt two types people world httptcohxhugdbwz,0.0,Neutral,0,non-negative affect
fucking hate feeling feel,-0.496,Negative,1,high negative affect
someone knew,0.0,Neutral,0,non-negative affect
rt close used im need,0.0,Neutral,0,non-negative affect
rt want person youre afraid lose,-0.34,Negative,1,high negative affect
hope everyones fun bc im going hour ride,0.735,Positve,0,non-negative affect
well spent day beach first time httptcoucsbckkv,0.273,Positve,0,non-negative affect
rt im nice person hate everyone,-0.226,Negative,1,high negative affect
rt would retweet million times could httptcooracvkfe,0.0,Neutral,0,non-negative affect
talk amp reason bc enough hope us,0.44,Positve,0,non-negative affect
rt change always good,0.44,Positve,0,non-negative affect
rt wish could forever,0.402,Positve,0,non-negative affect
late night running amp music guess could amp guess,0.0,Neutral,0,non-negative affect
wanted much,0.0,Neutral,0,non-negative affect
yeah cry,-0.226,Negative,1,high negative affect
rt lipstick looks good yr lips httptcomkvorydu,0.44,Positve,0,non-negative affect
love fucking much body understands im sorry lost much,0.382,Positve,0,non-negative affect
could please talk,0.318,Positve,0,non-negative affect
rt things remember httptcopgbsdydua,0.0,Neutral,0,non-negative affect
awake okay,0.226,Positve,0,non-negative affect
please understand,0.318,Positve,0,non-negative affect
really fucking depressing,-0.489,Negative,1,high negative affect
rt im sooooooooo boredddddddddddddddddddd,0.0,Neutral,0,non-negative affect
thank everyone telling im worth,0.527,Positve,0,non-negative affect
really wish youd answer,0.458,Positve,0,non-negative affect
gotta mean,0.0,Neutral,0,non-negative affect
rt best words ive seen week long httptcoxhzcskclor,0.637,Positve,0,non-negative affect
rt barnacles hate pill httptcornyzpocfo,-0.572,Negative,1,high negative affect
rt lets see squidward prepares shift httptcoiovvna,0.0,Neutral,0,non-negative affect
rt youre sarcastic someone asks youre serious httptcooatjwmatax,-0.318,Negative,1,high negative affect
please dont even forget put gun,0.145,Positve,0,non-negative affect
game day biotches,0.0,Neutral,0,non-negative affect
rt game day bitches,-0.599,Negative,1,high negative affect
bitch think,-0.586,Negative,1,high negative affect
cmhs today fight shield flannels jorts gotta love castle knight nation,0.382,Positve,0,non-negative affect
happy couples amp sleep,0.572,Positve,0,non-negative affect
rt game day yall battle shield ride die beat huntington,-0.758,Negative,1,high negative affect
homecoming isnt freshman im going,0.0,Neutral,0,non-negative affect
liz monday comes soon,0.0,Neutral,0,non-negative affect
dear jesus bring christmas,0.382,Positve,0,non-negative affect
well homecoming date,0.273,Positve,0,non-negative affect
uhm duh,0.0,Neutral,0,non-negative affect
karli happy birthday love,0.836,Positve,0,non-negative affect
hate phones amp still whole damn bus ride home school,-0.751,Negative,1,high negative affect
throw happiness amp kindness around like confetti yeah thank,0.915,Positve,0,non-negative affect
rt wanna famous somebody makes parody account,0.0,Neutral,0,non-negative affect
love nothing one person yeah mean,0.513,Positve,0,non-negative affect
rt ever shows phone getting trashed plain simple,0.0,Neutral,0,non-negative affect
uhm ugh,-0.421,Negative,1,high negative affect
luhh yeeww,0.0,Neutral,0,non-negative affect
uhh thot,0.0,Neutral,0,non-negative affect
wwjd wout desiree,0.0,Neutral,0,non-negative affect
guess im welcome anymore,0.459,Positve,0,non-negative affect
right,0.0,Neutral,0,non-negative affect
honestly wanna thank motherfucker ruined day,-0.494,Negative,1,high negative affect
order happy gotta happy httptcoogozuove,0.813,Positve,0,non-negative affect
still black white people unless youre chinese youre yellow racist,-0.612,Negative,1,high negative affect
im gonna tweet lot today bc well,0.273,Positve,0,non-negative affect
hairy legs fell asleep curling hair last night httptcokssopctti,0.0,Neutral,0,non-negative affect
rt text im forever httptcozpakghdozw,0.0,Neutral,0,non-negative affect
love amp know,0.637,Positve,0,non-negative affect
please consider,0.318,Positve,0,non-negative affect
rt school tomorrow,0.0,Neutral,0,non-negative affect
im okay im okay im okay,0.572,Positve,0,non-negative affect
see amp heart skips beats,0.0,Neutral,0,non-negative affect
rt drive school yea sit parking lot alone cause get early,-0.25,Negative,1,high negative affect
dreams amp right chase please let,0.612,Positve,0,non-negative affect
rt pain weakness leaving body,-0.727,Negative,1,high negative affect
rt k thank much actually triedstill didnt mean anything,0.361,Positve,0,non-negative affect
gamee hope dont go home crying time httptcosqurrwty,0.666,Positve,0,non-negative affect
take one step time bc dont wanna move really,0.0,Neutral,0,non-negative affect
rt shoukd try anymore,0.0,Neutral,0,non-negative affect
im sorry im im,-0.077,Negative,1,high negative affect
life something beautiful live,0.599,Positve,0,non-negative affect
kudos depression storyline coronation street brilliantly acted exactly felt diagnosed,0.557,Positve,0,non-negative affect
rt congrats lads debut tune air guitar gone straight httptcoevt,0.649,Positve,0,non-negative affect
rt torn apart song coming single amp would awesome mean lot lot grabbed copy https,0.477,Positve,0,non-negative affect
thanks message cant reply dont follow,0.44,Positve,0,non-negative affect
rt ohhhh want david guetta,0.077,Positve,0,non-negative affect
rt wow album already top american itunes woop woop httptcodreajdvdjw,0.681,Positve,0,non-negative affect
rt well hes jolly fellow,0.66,Positve,0,non-negative affect
stereo kicks smashed tonight stereo kicks xfactor,0.0,Neutral,0,non-negative affect
love mr guetta david guetta xfactor,0.637,Positve,0,non-negative affect
oi steph born kettering coronation street,0.0,Neutral,0,non-negative affect
look came going annoying neighbours today mc busted air guitar httptcokfamkvvj,-0.402,Negative,1,high negative affect
caught teen mom earth look kids cant even look dogs sickening,-0.527,Negative,1,high negative affect
ask jb marry,0.0,Neutral,0,non-negative affect
ask jb would rather fight dog sized cockroach horse sized rat,-0.382,Negative,1,high negative affect
ask jb whats sweetest thing fan ever done,0.318,Positve,0,non-negative affect
ask jb want xmas year,0.077,Positve,0,non-negative affect
would rather head size tennis ball size watermelon interesting ask jb,0.402,Positve,0,non-negative affect
ask jb tell joke,0.296,Positve,0,non-negative affect
ask jb tell something lovely cure tiredness,0.586,Positve,0,non-negative affect
forever hoping notices tweets,0.421,Positve,0,non-negative affect
love much,0.637,Positve,0,non-negative affect
guys fing awesome strictly nailed,0.625,Positve,0,non-negative affect
ask bag love xxx,0.637,Positve,0,non-negative affect
ask bag xmas advert best think sainsburys,0.637,Positve,0,non-negative affect
give tips take good selfie ask bag,0.44,Positve,0,non-negative affect
want santa year ask bag,0.077,Positve,0,non-negative affect
ask bag would ever strictly come dancing,0.0,Neutral,0,non-negative affect
wins eat hat xfactor,0.572,Positve,0,non-negative affect
shite swear judges listen something else star bang bang big band song either eurgh xfactor,-0.052,Negative,1,high negative affect
piss fleur youll never famous talk murder good song xfactor yawn,0.604,Positve,0,non-negative affect
rt team simon tonight lines open please vote landline mobile,0.318,Positve,0,non-negative affect
youll smash doubt,-0.361,Negative,1,high negative affect
rt hours learn song lets best boys,0.637,Positve,0,non-negative affect
rt think going go way competition massive well done strictly come dancing,0.273,Positve,0,non-negative affect
perfection fell love craig strictly come dancing,0.836,Positve,0,non-negative affect
mark smashing strictly come dancing,0.0,Neutral,0,non-negative affect
yes well deserved simon strictly come dancing,0.586,Positve,0,non-negative affect
winner winner chicken dinner bloody love len strictly come dancing,0.872,Positve,0,non-negative affect
dont know possible simon got even hotter strictly come dancing,0.0,Neutral,0,non-negative affect
want dots eau de laundrette christmas children need eastenders grease,0.077,Positve,0,non-negative affect
brian rather engrossed children need meow httptcorrurvkln,0.153,Positve,0,non-negative affect
rt thanks love year guys means world decided bow couldnt done without thanks,0.875,Positve,0,non-negative affect
really miss good luck xoxo,0.861,Positve,0,non-negative affect
rt thanks support ya beautiful bunchabeauts awesome,0.927,Positve,0,non-negative affect
rt royal variety performance done honoured mouth drier plain ryvita though,0.494,Positve,0,non-negative affect
rt played song front royalty nervous ive ever performance ever,0.077,Positve,0,non-negative affect
rt rt born hawaii zoe known captive golden zebra existence httptcoloektzusfo,0.0,Neutral,0,non-negative affect
wish id applied coach trip alex craig coach trip,0.402,Positve,0,non-negative affect
rt youve got half hour youre going glued seats hollyoaks end line use wisely grabbin,0.421,Positve,0,non-negative affect
wahey well done leo jack best contestants ever pointless,0.743,Positve,0,non-negative affect
rt year ago met lot today round get tickets httptcoayjqcljrm yearofmc busted http,0.0,Neutral,0,non-negative affect
knew coming nothing could prepared menot casey home away,-0.17,Negative,1,high negative affect
rt still following dming rt,0.0,Neutral,0,non-negative affect
nope im sure unicorn,-0.241,Negative,1,high negative affect
monkey cant stop rocking air guitar mc busted air guitar httptcobnlriimhn,0.224,Positve,0,non-negative affect
monkey says vote stereo kicks tonight everyone vote stereo kicks httptcolulfzsrdkw,0.0,Neutral,0,non-negative affect
want visit andreas family italia cute food looks amazing xfactor,0.796,Positve,0,non-negative affect
oh andrea sweetest xfactor,0.0,Neutral,0,non-negative affect
neither bournemouth come counting days,0.0,Neutral,0,non-negative affect
already voted times babes smashed,0.0,Neutral,0,non-negative affect
one doesnt like fleur yawn xfactor,-0.276,Negative,1,high negative affect
yes yes yes smashed everyone vote stereo kicks xfactor,0.796,Positve,0,non-negative affect
already cast votes,0.0,Neutral,0,non-negative affect
thats lovely thought,0.586,Positve,0,non-negative affect
rt know youve already started pooping amp realise theres sheet loo roll leftthats gods poop chal,0.0,Neutral,0,non-negative affect
rt special friday freebie air guitar promo signed rt amp follow enter winner monday ht,0.852,Positve,0,non-negative affect
rt special friday freebie air guitar promo signed rt amp follow enter winner mon ht,0.852,Positve,0,non-negative affect
rt special friday freebie air guitar promo signed rt amp follow enter winner mon htt,0.852,Positve,0,non-negative affect
rt special friday freebie air guitar promo signed rt amp follow enter winner monday,0.852,Positve,0,non-negative affect
rt special friday freebie air guitar promo signed rt amp follow enter winner monday htt,0.852,Positve,0,non-negative affect
rt giving away air guitar promo signed rt amp follow enter winner monday httptco,0.735,Positve,0,non-negative affect
rt devastated hear katie passed away prayers family,-0.612,Negative,1,high negative affect
absolutely love craig coach trip,0.67,Positve,0,non-negative affect
minutesalready got mine,0.0,Neutral,0,non-negative affect
video bloomin amazing proud guys nailed mc busted air guitar,0.784,Positve,0,non-negative affect
video amazing mc busted air guitar,0.586,Positve,0,non-negative affect
ive got tickets see bournemouth nan gutted im bringing,0.0,Neutral,0,non-negative affect
rubbish read article mcbusted liars get facts right disgusted,-0.778,Negative,1,high negative affect
rt posting false information code practice never abandoned busted slander http,0.357,Positve,0,non-negative affect
rt entire article full crap youve made sound like dicks youve lied james,-0.402,Negative,1,high negative affect
upgrade tickets later date omfg zone fingers crossed,0.0,Neutral,0,non-negative affect
able upgrade tickets omfg zone later date,0.0,Neutral,0,non-negative affect
got tickets yesterday see bournemouth,0.0,Neutral,0,non-negative affect
got tickets yesterday see bournemouth guys eeeeeep,0.0,Neutral,0,non-negative affect
please dm meeeee,0.318,Positve,0,non-negative affect
love perfect,0.836,Positve,0,non-negative affect
ooo ft geordie shore,0.0,Neutral,0,non-negative affect
dont think wait another week next geordie shore hurry,0.0,Neutral,0,non-negative affect
got tickets bournemouth cant bloomin wait counting days already mcbustedtour,0.0,Neutral,0,non-negative affect
haveeeeee bring bournemouth,0.0,Neutral,0,non-negative affect
meeee see bournemouth cant bloomin wait mcbustedtour,0.0,Neutral,0,non-negative affect
meeeee see bournemouth cant bloody wait,0.341,Positve,0,non-negative affect
omfg zone expensive,0.0,Neutral,0,non-negative affect
cannot wait tonight hope see tv,-0.341,Negative,1,high negative affect
marry mo hrsae,0.0,Neutral,0,non-negative affect
noooo men world know man flu myth mo done hrsae,-0.382,Negative,1,high negative affect
mo one good looking man treat anytime hrsae,0.681,Positve,0,non-negative affect
cannot wait doubt crying end hrsae,0.567,Positve,0,non-negative affect
rt want relive capital exposed thanks boys great morning httptcoehiohdmcf,0.791,Positve,0,non-negative affect
toms face though capital exposed self ie stick httptcoimsxqydcg,-0.077,Negative,1,high negative affect
photo right smacked bum capital exposed httptcolhpzmzlk,-0.077,Negative,1,high negative affect
well today epic definitely worth hour drive back capital exposed httptcomusczexwzs,0.66,Positve,0,non-negative affect
want play tattoo roulette capital exposed,0.34,Positve,0,non-negative affect
matt harrys dance moves sexy capital exposed,0.477,Positve,0,non-negative affect
fuck idiot,-0.778,Negative,1,high negative affect
weve since hour journey herelooking rough,0.0,Neutral,0,non-negative affect
selfieeeeee capital exposed httptcoxmxhehf,-0.077,Negative,1,high negative affect
since finally excited mcbusted capital exposed,0.273,Positve,0,non-negative affect
rd time lucky overload gen,0.077,Positve,0,non-negative affect
teachers never noticed depressed diagnosed depression age antidepressants,-0.249,Negative,1,high negative affect
ive diagnosed depression oh nuuuu,-0.572,Negative,1,high negative affect
omg found counselor transgender yassss,0.0,Neutral,0,non-negative affect
sorry ive inactive much stuff lately im leaving counseling session ugh,-0.477,Negative,1,high negative affect
still remember happened account omfg httptcorrzrsf,0.0,Neutral,0,non-negative affect
hope feel better birthday tomorrow,0.7,Positve,0,non-negative affect
im trying hard cool oh god httptcoxmwclymll,0.459,Positve,0,non-negative affect
rt new video really happens tour httptcocrgfclfe rt dm full love im sending ever,0.637,Positve,0,non-negative affect
feel like im ignored rn httptcozmqqnvy,0.052,Positve,0,non-negative affect
ohhhhh myyyyyyy gooodddnnesssss unicorns life omggggg,0.0,Neutral,0,non-negative affect
band album covers fact one member always looking away camera,0.0,Neutral,0,non-negative affect
one follow tweet im really really bad day follow would help much follow franta,-0.334,Negative,1,high negative affect
follow ill give imaginary dinosaur bob jr follow franta follow connor,-0.421,Negative,1,high negative affect
follow franta get special emoji httptcorbsczgcvcw,0.402,Positve,0,non-negative affect
ayeee hit dat follow button love beanies tumblr follow franta,0.637,Positve,0,non-negative affect
follow franta ill change layout stuff bout could like press follow button,-0.077,Negative,1,high negative affect
im even kidding ive horrible day follow would make much better follow franta,-0.052,Negative,1,high negative affect
im horrible day make worse moms upset didnt remember birthday middle day,-0.848,Negative,1,high negative affect
stubbed toe think cutting foot would hurt less,-0.599,Negative,1,high negative affect
hows life tell hows family ive never seen liiiiiiiiiifeeee,0.0,Neutral,0,non-negative affect
isnt real gir way pikachu version,0.0,Neutral,0,non-negative affect
oh god say love gir dont know invader zim pray burn hell httptcodxfpimwvx,0.459,Positve,0,non-negative affect
stood front health class advertised book im writing yassss,0.0,Neutral,0,non-negative affect
story michael ugliest boy town ugly weak called freak lived underground,-0.917,Negative,1,high negative affect
ty fish used hashtag notice,0.382,Positve,0,non-negative affect
okay,0.226,Positve,0,non-negative affect
okay weird understand httptcodejcobqrhq,0.052,Positve,0,non-negative affect
ty fish help missedmissing episode dont cable moment,0.649,Positve,0,non-negative affect
im literally crying cause missed episode,-0.649,Negative,1,high negative affect
yeah,0.296,Positve,0,non-negative affect
hate yoy,-0.572,Negative,1,high negative affect
stop,-0.296,Negative,1,high negative affect
mean like,0.361,Positve,0,non-negative affect
ty fish bets tyler gonna promote twitter hundred times episode ends,0.637,Positve,0,non-negative affect
wow zoe youve lost much weight howd well daily routine fucking gay youtuber hours,0.557,Positve,0,non-negative affect
please tell watch catfish episode youtube something im crying sjdkd,-0.202,Negative,1,high negative affect
omfg missed,-0.296,Negative,1,high negative affect
wait catfish right,0.0,Neutral,0,non-negative affect
ive inactive lately im sorry,-0.077,Negative,1,high negative affect
health boring,-0.318,Negative,1,high negative affect
ignorant kid took chromebook yesterday half dead wth,-0.869,Negative,1,high negative affect
smart people group get create make class take test xd,0.823,Positve,0,non-negative affect
lunch minutes yay,0.527,Positve,0,non-negative affect
councilors,0.0,Neutral,0,non-negative affect
think one day troyler tronner fandoms gonna go war wait,-0.599,Negative,1,high negative affect
reason dont like councillors theyre fake asf,-0.638,Negative,1,high negative affect
casually counselors office calming actually wasnt mood dealing social studies teachers hate,-0.077,Negative,1,high negative affect
would active today teachers werent swallowing computer eyes,0.402,Positve,0,non-negative affect
must make ppl look gay porn websites wrong lmfao,0.103,Positve,0,non-negative affect
convinced friend look httptcoeagoalrsm blocked,0.586,Positve,0,non-negative affect
advertising snapchat httptcobpdqowdw,0.0,Neutral,0,non-negative affect
friend told boy use like like told told omg,0.802,Positve,0,non-negative affect
youre welcome,0.459,Positve,0,non-negative affect
dare look httptcobdokzwkv,0.0,Neutral,0,non-negative affect
bad mood yesterday probably,-0.542,Negative,1,high negative affect
thank love love,0.898,Positve,0,non-negative affect
im busy tonight anyway sure,0.318,Positve,0,non-negative affect
yass,0.0,Neutral,0,non-negative affect
idc fucking gorilla youre still cutest know,0.586,Positve,0,non-negative affect
boo,0.0,Neutral,0,non-negative affect
besides,0.0,Neutral,0,non-negative affect
still think youre absolutely gorgeous,0.648,Positve,0,non-negative affect
darling sadly mistaken,-0.128,Negative,1,high negative affect
god youre prettier,0.637,Positve,0,non-negative affect
dear possible,0.382,Positve,0,non-negative affect
love tooo,0.637,Positve,0,non-negative affect
cute babe,0.459,Positve,0,non-negative affect
yeah,0.296,Positve,0,non-negative affect
fell lake,0.0,Neutral,0,non-negative affect
took hike journey feel like legs got scratched theyre still gushing blood ugh,-0.077,Negative,1,high negative affect
yasss slay girl slay,0.0,Neutral,0,non-negative affect
yasss love,0.637,Positve,0,non-negative affect
omfg yes,0.402,Positve,0,non-negative affect
saw walmart,0.0,Neutral,0,non-negative affect
interact boom,0.0,Neutral,0,non-negative affect
cute,0.459,Positve,0,non-negative affect
wish,0.402,Positve,0,non-negative affect
im putting say cause know im gonna main suggested im selfcentered sorry sorry,-0.153,Negative,1,high negative affect
im okie,0.0,Neutral,0,non-negative affect
already,0.0,Neutral,0,non-negative affect
yes,0.402,Positve,0,non-negative affect
thank boo dont think ive ever smiled much love,0.881,Positve,0,non-negative affect
wish could kill mom get away w like im sims cant,-0.128,Negative,1,high negative affect
like announce stop following ppl like please thank,0.765,Positve,0,non-negative affect
demand slams hand order court follow,0.402,Positve,0,non-negative affect
rn,0.0,Neutral,0,non-negative affect
ship phan hard rn,-0.103,Negative,1,high negative affect
found phill bi omfg kajxjs,0.0,Neutral,0,non-negative affect
love one direction direction,0.637,Positve,0,non-negative affect
thanks lucky stars,0.691,Positve,0,non-negative affect
like crazy obsessive ones icons shit,-0.66,Negative,1,high negative affect
want sos fan follow like happens say anything,0.625,Positve,0,non-negative affect
omg love sos five seconds summer,0.637,Positve,0,non-negative affect
okay tht didnt work,0.226,Positve,0,non-negative affect
shh waiting,0.0,Neutral,0,non-negative affect
seconds summer,0.0,Neutral,0,non-negative affect
imma try something,0.0,Neutral,0,non-negative affect
rt sorry drop ya new video making special cookies httptcojbbxhwcaa ill following rters x,-0.361,Negative,1,high negative affect
aw knew youd miss minutes cause mom felt like turning g,0.226,Positve,0,non-negative affect
ayee love,0.637,Positve,0,non-negative affect
know neither could,0.0,Neutral,0,non-negative affect
oh god new parody made slay name,0.273,Positve,0,non-negative affect
yesss slay girl slay name,0.0,Neutral,0,non-negative affect
wavy aint straight wavy asf,-0.17,Negative,1,high negative affect
still,0.0,Neutral,0,non-negative affect
got damn straight,-0.202,Negative,1,high negative affect
mhm,0.0,Neutral,0,non-negative affect
looks like ur man period smh,0.052,Positve,0,non-negative affect
yesss needs okay shit got lol shit everything,-0.542,Negative,1,high negative affect
wanna like crushes cause main one noticed presence ever httptcoezxwxnwi,-0.103,Negative,1,high negative affect
wow thou,0.586,Positve,0,non-negative affect
yes bae maybe loves going rn yes,0.844,Positve,0,non-negative affect
wow everyday advice julia itll blow mind,0.586,Positve,0,non-negative affect
im loving already,0.599,Positve,0,non-negative affect
find secret patch unicorns,0.0,Neutral,0,non-negative affect
go vidcon wit ozzie,0.0,Neutral,0,non-negative affect
dad judging twitter much said twittering twit sounds wrong many levels cant,-0.477,Negative,1,high negative affect
oh god brilliant yes yes yes yes,0.94,Positve,0,non-negative affect
screamed went inside im laughing hard rn lost ability even,0.128,Positve,0,non-negative affect
tyler eats ice cream troye month later eats ice cream fandom omfg troyler real proof omg omg omg,0.0,Neutral,0,non-negative affect
old woman outside watching laugh sit twitter wtf,-0.052,Negative,1,high negative affect
yes bet ebay,0.402,Positve,0,non-negative affect
lately ive started tweets yasss sorry sorry,-0.153,Negative,1,high negative affect
yass,0.0,Neutral,0,non-negative affect
yas gurl ozzie shortened name state id totally find shirt wit yo name,0.0,Neutral,0,non-negative affect
omg chey saw tweets lmao,0.599,Positve,0,non-negative affect
ozzie im sitting degrees talk cause got service inside e welcome better love,0.878,Positve,0,non-negative affect
sameee,0.0,Neutral,0,non-negative affect
gasp hate another gasp fucks ran away,-0.778,Negative,1,high negative affect
ayee ozzie ya know ya gotta fav tweets doe,0.459,Positve,0,non-negative affect
yass boo,0.0,Neutral,0,non-negative affect
get level follow either one fine everyones reaction shiz today,0.202,Positve,0,non-negative affect
yes xd,0.758,Positve,0,non-negative affect
ily boo,0.66,Positve,0,non-negative affect
lmao well arent dreaming,0.718,Positve,0,non-negative affect
awkward like someone back dear,0.542,Positve,0,non-negative affect
thats twitter love,0.637,Positve,0,non-negative affect
thats twitter love,0.637,Positve,0,non-negative affect
knew first confessions tweet liked adding humor make less awkward,0.556,Positve,0,non-negative affect
lmao idk httptcokbnreywmeb,0.542,Positve,0,non-negative affect
lol idk stalking yo twitter saw,0.34,Positve,0,non-negative affect
hmmm chey,0.0,Neutral,0,non-negative affect
teasin,0.0,Neutral,0,non-negative affect
knew told ya reason,0.0,Neutral,0,non-negative affect
mentally hes girl,0.0,Neutral,0,non-negative affect
im teasing horribly rn,-0.572,Negative,1,high negative affect
ayee tyler isnt,0.0,Neutral,0,non-negative affect
lmao know,0.599,Positve,0,non-negative affect
click buttons favorite allllll,0.459,Positve,0,non-negative affect
favorite god damn ya know want,0.402,Positve,0,non-negative affect
yeah im waiting spill beans,0.296,Positve,0,non-negative affect
spent past minutes stalking kidz bop regrets,-0.361,Negative,1,high negative affect
oooo got spillin,0.0,Neutral,0,non-negative affect
yeah thats sayin,0.296,Positve,0,non-negative affect
technically,0.0,Neutral,0,non-negative affect
okay ill download ittttt rawr,-0.226,Negative,1,high negative affect
,0.0,Neutral,0,non-negative affect
today lost two weird loved people cali ozzie cause death laughter,0.052,Positve,0,non-negative affect
omfg wouldnt time anything id drop dead,-0.751,Negative,1,high negative affect
tyler come attention fandom unable even troye banning ability even,0.318,Positve,0,non-negative affect
acknowledges tweets ozzie next minutes laughing ass,-0.077,Negative,1,high negative affect
idk either cause im pretty great,0.784,Positve,0,non-negative affect
suppose cause im staying place wit service came town awhile yayy,0.0,Neutral,0,non-negative affect
knew youd miss,-0.153,Negative,1,high negative affect
agh im gonnna wifi days love guys,0.637,Positve,0,non-negative affect
god friends saw last tweet know talking guys dare say anything,0.637,Positve,0,non-negative affect
danced guy like nothing ruin mood,0.678,Positve,0,non-negative affect
nothing drama stupid dances,0.417,Positve,0,non-negative affect
unfortunately,-0.34,Negative,1,high negative affect
omg yassss,0.0,Neutral,0,non-negative affect
school dance fun,0.511,Positve,0,non-negative affect
really hot topic thou could live without,0.0,Neutral,0,non-negative affect
eat forward,0.0,Neutral,0,non-negative affect
makes tweet omg cant wait see ozzie say lmao,0.599,Positve,0,non-negative affect
rt new video birds bees ft httpstcoavglykbfcp rt want send sloppy dm full,0.077,Positve,0,non-negative affect
yasss go gurl,0.0,Neutral,0,non-negative affect
im reading two fanfics time im cool,0.318,Positve,0,non-negative affect
found laptop httptcozlumhzjfbi,0.0,Neutral,0,non-negative affect
im wearing shorts school l st time amp im hyperventilating hate freaking legs agh amp made body positivity post last night,-0.494,Negative,1,high negative affect
try sharpie something whatever dont dare make single wound skin,0.0,Neutral,0,non-negative affect
whats making long instagram post ugh gn happy birthday ride die,-0.202,Negative,1,high negative affect
ask shave legs time happy birthday love,0.836,Positve,0,non-negative affect
sounds like lot people going broken windows tonight,-0.153,Negative,1,high negative affect
best friends dog drug dealer tell hyper hell httptcoorvadlbry,0.402,Positve,0,non-negative affect
thing instagram try cool cause entire grade follows ew,0.318,Positve,0,non-negative affect
get stupid fucking bar mouth able make youtube videos,-0.527,Negative,1,high negative affect
follow instagram see two selfies im cali,0.0,Neutral,0,non-negative affect
okie hold,0.0,Neutral,0,non-negative affect
literally two selfies one really badass quote along wit bio sucks,-0.526,Negative,1,high negative affect
made worlds longest instagram post body figure regrets even ones gonna read,-0.361,Negative,1,high negative affect
rt keep changing changing im brand new person httptcodysxttkxf,0.0,Neutral,0,non-negative affect
